venueid name lat longt rating address
4b65eb87f964a52065082be3 Marines'_Memorial_Theatre 37.7889308892 -122.4103772 7.49 609_Sutter_St
4ad28a33f964a52022e220e3 The_Great_Greek 34.146801 -118.424576 7.33 13362_Ventura_Blvd
4cbbc039f50e224b1aa0fbfb Tiki_No 34.155434905 -118.369241953 8.17 4657_Lankershim_Blvd
4ad159adf964a52028de20e3 First_Congregational_Church_of_Berkeley 37.8670731408 -122.261497758 0 2345_Channing_Way
45e6b309f964a5204c431fe3 Forbidden_Island 37.7746019911 -122.263015783 8.89 1304_Lincoln_Ave
4eb7023b0039f4f9edb4507d Sutter_Pub_&_Restaurant 37.7889303202 -122.412055805 6.59 700_Sutter_St
4ef356e2c512c31f1bc1ea62 Top_Of_Stratton_Mountain 43.1057412908 -72.9083735397 0 Stratton
50cc69ebe4b0d070222fd9a7 Ritto_Suzuki -12.9830964761 -38.4512351548 0 address
51111bdbe4b06f1f33d8aa55 MedicWare_Sistemas -12.9840049897 -38.4513115883 0 address
51111bdbe4b06f1f33d8aa55 MedicWare_Sistemas -12.9840049897 -38.4513115883 0 address
51111bdbe4b06f1f33d8aa55 MedicWare_Sistemas -12.9840049897 -38.4513115883 0 address
4bc8f8550687ef3be711d9cc Mt._Helena_Summit 46.5878868629 -112.065416881 0 Helena
4b724601f964a52055762de3 Helena_Regional_Airport_(HLN) 46.6102184835 -111.98989749 7.03 2850_Skyway_Dr
4b5ce254f964a5203a4929e3 20xnyc 40.7059199985 -74.0095245639 0 20_Exchange_Pl
4b749c78f964a520a6e72de3 California_Public_Utilities_Commission 37.7804794837 -122.42084698 0 505_Van_Ness_Ave
528f85f511d2dbbefd0a166b CREAM_(Cookies_Rule_Everything_Around_Me) 37.3352273684 -121.889982861 8.58 49_S_1st_St
4c0c0bec7e3fc928ea3df682 Costco_Gasoline 37.357099 -121.93751 7.88 1601_Coleman_Ave
